#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,LIKE
1,2 Heads,Coleman Hell,4/7/15,120,56,73,-9,35,3:34,6,56,2823,1
2,chateau,blackbear,4/21/17,98,64,67,-6,48,3:33,5,70,7304,1
3,Winnebago (feat. Quinn XCII & Daniel Wilson),Gryffin,4/20/18,148,89,65,-3,70,3:00,11,60,6855,1
4,Brooklyn '95,Robotaki,8/10/18,96,66,69,-5,53,3:38,4,47,4526,1
5,Heebiejeebies - Bonus,Aminé,7/28/17,107,50,77,-8,50,3:40,42,69,9151,1
6,Don't Wanna Fall In Love,KYLE,10/2/15,132,62,49,-7,60,3:52,2,1,1183,1
7,Spice Girl,Aminé,7/28/17,78,46,69,-8,87,2:54,39,70,2992,1
8,Fire Alarm,Castlecomer,10/5/18,145,92,51,-5,52,3:57,0,52,2561,1
9,You & I,Colony House,1/13/17,99,85,48,-5,49,3:27,0,48,8198,1
10,"Prune, You Talk Funny",Gus Dapperton,12/5/17,140,75,57,-7,58,3:33,2,67,7618,1
11,Sit Next to Me,Foster The People,7/21/17,97,74,64,-5,66,4:03,12,73,6212,1
12,Sweater Weather,The Neighbourhood,4/19/13,124,81,61,-3,40,4:00,5,80,2921,1
13,Cocaine Jesus,Rainbow Kitten Surprise,4/25/15,120,36,82,-7,16,3:50,16,65,5372,0
14,Lady Lie,Rainbow Kitten Surprise,4/25/15,132,30,47,-10,30,3:35,39,60,4987,1
15,Cold Love,Rainbow Kitten Surprise,4/25/15,115,28,63,-11,21,3:57,77,55,6516,1
16,It's Called: Freefall,Rainbow Kitten Surprise,4/6/18,98,52,74,-6,28,2:32,63,65,3952,1
17,still feel.,half•alive,8/3/18,120,53,78,-6,70,4:07,15,59,7084,1
18,Tell Me,Spencer Sutherland,6/15/18,84,60,49,-4,55,3:19,5,50,6278,1
19,Broke,Samm Henshaw,8/8/18,90,68,75,-4,86,3:28,43,62,2319,1
20,Bambi,Hippo Campus,9/28/18,90,47,74,-8,31,3:14,7,66,7869,1
21,Doubt (feat. Wretch 32),Samm Henshaw,10/4/18,140,76,63,-6,59,3:45,6,51,721,1
22,RUNAWAY,half•alive,6/13/19,132,60,75,-6,59,2:42,0,54,9444,1
23,The Fall,half•alive,4/24/17,83,74,66,-6,55,3:07,3,65,5806,1
24,TEMPTATION,Joey Bada$$,4/7/17,105,71,78,-5,78,4:04,40,67,4242,1
25,Acid Dreams,MAX,7/19/19,100,51,82,-4,77,3:04,15,65,5926,1
26,Cupid Tryouts,Jonah Renna,5/18/18,103,67,59,-7,74,3:56,28,39,9095,1
27,Walking On A Dream,Empire of the Sun,10/3/08,127,70,87,-6,72,3:18,26,73,8534,1
28,The Less I Know The Better,Tame Impala,7/17/15,117,74,64,-4,79,3:36,1,85,8359,1
29,Sunflower,Rex Orange County,3/22/17,130,77,38,-4,57,4:12,65,79,8275,1
30,Buttercup,Hippo Campus,2/24/17,109,76,62,-4,20,3:47,20,67,497,1
31,Doubt,Hippo Campus,9/28/18,81,68,64,-5,70,3:13,7,52,4375,1
32,Way It Goes,Hippo Campus,2/24/17,120,91,54,-4,52,4:05,2,63,8539,1
33,Suicide Saturday,Hippo Campus,2/24/15,156,72,44,-6,56,3:33,2,60,9934,1
34,South,Hippo Campus,8/3/15,130,55,53,-7,44,3:51,17,60,4307,1
35,My Love,maye,3/15/19,117,60,40,-8,41,3:59,45,52,1124,1
36,The World Is Mine,Samm Henshaw,8/15/19,98,91,56,-4,79,2:56,11,44,5917,1
37,San Francisco,The Mowgli's,1/1/13,93,85,31,-4,34,2:53,2,48,6736,1
38,Sunday Candy,Donnie Trumpet & The Social Experiment,6/30/15,158,60,51,-7,55,3:46,53,67,2592,1
39,Loving Is Easy,Rex Orange County,10/11/17,117,61,76,-8,54,2:36,22,79,8848,1
40,Best Friend,Rex Orange County,1/25/17,145,71,57,-5,32,4:22,40,80,2739,1
41,New House,Rex Orange County,2/14/19,73,38,40,-9,32,3:19,81,66,4830,1
42,For Days,Francis and the Lights,7/20/10,115,82,81,-6,54,3:35,3,24,3181,1
43,Demon,Quinn XCII,4/28/15,93,63,80,-5,58,3:20,19,45,9213,1
44,I Don't Want to Miss You (Like I Do),Austin Weber,5/10/19,130,54,69,-7,46,3:33,21,45,3393,1
45,Using the Internet for French,Austin Weber,5/10/19,182,84,53,-6,77,2:46,13,43,6178,1
46,Love Songs for No One,Austin Weber,5/10/19,117,51,71,-8,46,3:01,60,38,311,1
47,Cocoon,Milky Chance,3/17/17,114,66,74,-7,80,4:15,10,60,4330,1
48,Stolen Dance,Milky Chance,6/20/14,114,58,89,-9,73,5:14,43,72,4274,1
49,Flashed Junk Mind,Milky Chance,6/20/14,118,84,84,-9,90,4:22,39,62,7944,1
50,Down By The River,Milky Chance,6/20/14,114,70,69,-8,46,4:01,75,57,9189,1
51,Seven,Rainbow Kitten Surprise,11/19/13,136,53,64,-7,19,3:45,5,58,9145,1
52,Corduroy Dreams,Rex Orange County,11/7/16,114,31,61,-14,22,3:27,65,75,9012,1
53,Diesel,"Findlay, 3 AM",8/4/18,140,40,70,-10,39,3:16,14,15,9548,1
54,OUTTA MY MIND,Monsune,8/30/19,87,46,69,-8,86,3:46,7,63,6830,1
55,Nothing in Return,Monsune,10/13/17,100,74,67,-6,69,3:52,55,25,8150,1
56,Gooey,Glass Animals,6/3/14,183,37,49,-13,11,4:49,74,71,9427,1
57,Honeypie,JAWNY,4/25/19,115,68,74,-5,93,2:16,7,40,5320,1
58,The Other Side Of Paradise,Glass Animals,8/26/16,128,34,69,-8,57,5:21,35,68,866,1
59,Sour Patch Kids,Bryce Vine,4/22/14,77,78,52,-5,58,4:13,1,66,3084,1
60,Drop The Game,Flume,11/22/13,79,67,56,-5,44,3:42,59,26,1524,1
61,Toes,Glass Animals,6/3/14,73,35,64,-12,25,4:15,41,59,5985,1
62,Step,Vampire Weekend,5/27/13,78,72,62,-7,62,4:12,59,62,410,1
63,This Is Home,Cavetown,8/3/15,130,27,81,-12,21,3:46,56,73,3053,1
64,Boys Will Be Bugs,Cavetown,12/11/18,89,53,61,-12,45,5:29,0,73,8668,1
65,Lemon Boy,Cavetown,1/1/18,140,48,51,-10,32,4:33,18,70,9665,1
66,Life Itself,Glass Animals,8/26/16,112,67,70,-6,56,4:41,1,63,2790,1
67,Talk to Me,Cavetown,6/29/18,130,32,63,-10,23,4:37,67,66,6646,1
68,Don't You Cry For Me,Cobi,5/6/16,60,65,41,-4,34,4:16,50,52,397,1
69,I Took A Pill In Ibiza,Mike Posner,5/6/16,74,32,64,-10,38,4:41,62,51,5618,1
70,Mamma Mia,Austin Weber,9/9/18,130,50,77,-9,92,3:30,1,57,7501,1
71,Only One to Blame,Samm Henshaw,9/20/19,88,55,61,-5,70,4:48,62,48,5060,1
72,Butterflies,Samsa,5/16/17,92,74,54,-11,93,3:19,31,62,581,1
73,Haunt Me,Samsa,5/16/17,85,80,77,-7,84,4:21,23,59,4223,1
74,Anthropocene,Samsa,5/16/17,179,78,48,-8,69,4:16,30,57,267,1
75,Tinder Samurai,Samsa,8/7/17,86,61,67,-14,80,2:25,65,54,7609,1
76,Television / So Far So Good,Rex Orange County,4/26/17,165,51,41,-8,32,4:23,59,68,3389,1
77,10-Oct,Rex Orange County,9/12/19,188,91,49,-4,29,2:26,30,63,2890,1
78,Let's Do It Again,J Boog,9/27/11,174,70,63,-6,93,3:12,58,67,2794,1
79,Heart It Races - Cover Version,Dr. Dog,6/5/07,99,47,71,-13,76,3:53,44,65,1449,1
80,Your Soul,Hippie Sabotage,9/16/14,94,68,49,-8,8,5:25,0,65,7511,1
81,Jealou$y,The Neighbourhood,11/28/14,151,62,51,-5,30,4:27,14,54,2502,1
82,Everyday,A$AP Rocky,5/26/15,150,66,39,-9,34,4:21,1,73,6118,1
83,Season 2 Episode 3,Glass Animals,8/26/16,148,29,74,-8,71,4:04,54,64,9121,1
84,Dissolve,Absofacto,11/3/17,85,58,69,-11,87,3:45,23,75,5469,1
85,Moscow,Autoheart,7/15/13,104,61,72,-8,82,3:55,18,50,2783,1
86,Reckless,Healy,2017,81,36,85,-9,42,3:57,52,69,4341,1
87,Cool with You,Her's,5/12/17,107,62,53,-7,55,6:16,1,66,5798,1
88,Look Back at It,A Boogie Wit da Hoodie,12/21/18,96,59,79,-5,54,2:59,41,79,5916,1
89,Almost (Sweet Music),Hozier,3/1/19,90,69,52,-6,71,3:37,2,74,3507,1
90,Hello My Old Heart,The Oh Hellos,12/1/11,90,30,56,-11,30,4:16,62,65,9454,1
91,Hollywood's Bleeding,Post Malone,9/6/19,130,65,41,-3,17,2:36,33,81,6759,1
92,Buttercup,Jack Stauber,3/25/17,120,37,71,-9,55,3:28,72,82,4379,1
93,Anna Sun,WALK THE MOON,6/19/12,140,86,47,-7,31,5:21,0,56,5084,1
94,Marlboro Nights,Lonely God,6/28/18,176,82,47,-7,78,1:09,0,18,4950,1
95,Atlas,Luke Christopher,9/11/15,145,59,50,-6,24,4:11,52,39,5028,1
96,Feeling Lonely,boy pablo,10/5/18,118,54,64,-10,89,3:18,1,68,2986,1
97,wtf,boy pablo,10/5/18,128,57,71,-11,95,1:12,5,58,2498,1
98,tkm,boy pablo,10/5/18,72,51,55,-12,49,5:38,14,60,4084,1
99,t-shirt,boy pablo,10/5/18,108,61,27,-12,45,2:47,0,55,1632,1
100,Nothing,Rex Orange County,4/26/17,78,42,73,-9,38,4:53,35,61,2395,1
101,Apricot Princess,Rex Orange County,4/26/17,112,47,40,-9,25,3:58,24,61,6504,1
102,Never Enough,Rex Orange County,4/26/17,159,89,51,-4,54,4:59,1,60,7563,1
103,MARBLE TEA,Shawn Wasabi,10/18/19,140,56,48,-5,13,2:26,76,49,3195,1
104,Come Over,Nolie,10/10/19,83,73,40,-5,68,2:08,6,52,6224,1
105,Always,Rex Orange County,10/25/19,128,37,67,-7,39,3:17,78,68,4226,1
106,Never Had The Balls,Rex Orange County,10/25/19,150,68,69,-8,36,3:57,39,66,660,1
107,hello!,ROLE MODEL,10/11/19,126,46,79,-4,56,3:09,49,12,7282,1
108,Your Soul,Forrest.,7/1/18,140,85,85,-4,82,2:58,2,65,3370,1
109,Why Not Me,Forrest.,7/1/18,146,72,91,-7,70,3:15,48,63,6296,1
110,Come True,khai dreams,9/20/18,125,68,87,-6,76,3:24,51,58,4168,1
111,Dance in the Living Room,NVTHVN,7/25/18,110,68,76,-5,73,4:05,10,48,1656,1
112,Closed On Sunday,Kanye West,10/25/19,98,29,80,-7,41,2:32,87,71,5346,1
113,bellyache,Billie Eilish,2/24/17,100,57,70,-9,41,2:59,46,80,3188,1
114,Yellow Hearts,Ant Saunders,6/18/19,129,40,87,-11,71,3:43,12,35,5503,1
115,Untitled,Rex Orange County,4/26/17,84,20,57,-10,33,2:16,91,68,9381,1
116,Warm on a Cold Night,HONNE,1/22/16,83,61,34,-6,40,4:22,19,50,9184,1
117,Warm on a Cold Night (feat. Aminé),HONNE,4/7/17,83,61,37,-5,51,4:19,11,45,8467,1
118,3 Nights,Dominic Fike,10/16/18,152,52,82,-7,88,2:58,22,84,8028,1
119,Bagels,Kota the Friend,5/15/19,115,46,93,-6,64,4:12,75,48,7311,1
120,California Girls,NoMBe,3/15/15,78,53,71,-7,54,3:37,17,51,5534,1
121,Jackie and Wilson,Hozier,9/19/14,82,73,56,-4,74,3:43,6,65,4848,1
122,Lose It,Oh Wonder,9/4/15,88,33,52,-9,17,3:50,73,64,2139,1
123,Musta Been Something,Lake Street Dive,5/4/18,112,16,66,-11,24,5:46,64,56,1544,1
124,Good Kisser,Lake Street Dive,5/4/18,160,59,49,-4,64,3:38,12,63,8186,1
125,Metaphor,The Crane Wives,8/29/15,79,51,64,-9,44,3:05,49,30,9363,1
126,"Dance, Baby!",boy pablo,5/19/17,122,60,60,-9,86,3:18,4,69,8161,1
127,Find My Way,khai dreams,5/17/18,98,67,87,-6,52,2:44,35,60,8555,1
128,Pick Your Poison,Black Pistol Fire,5/17/19,154,68,50,-10,64,3:45,0,52,8455,1
129,Televised,HUNNY,5/26/17,108,75,59,-8,43,3:15,0,65,4984,1
130,Freaks,Jordan Clarke,2/25/19,166,57,67,-6,64,2:55,12,65,876,1
131,Only For A Moment,Lola Marsh,10/17/19,140,73,74,-6,77,2:47,24,62,2612,1
132,Uno,Rex Orange County,11/17/16,164,45,78,-10,46,2:52,78,65,871,1
133,Paradise,Rex Orange County,11/7/16,108,53,76,-14,36,3:38,9,59,9015,1
134,You've Got a Friend in Me,Rex Orange County,5/31/18,113,45,79,-7,45,2:20,90,59,4273,1
135,Sunkissed,khai dreams,10/11/19,154,35,77,-9,79,2:06,59,73,4543,1
136,Sweet Tooth,Scott Helman,5/12/17,95,90,70,-5,47,3:22,0,52,4714,1
137,Puzzle Pieces,Saint Motel,7/10/12,114,89,54,-5,60,3:51,12,53,1654,1
138,Listerine,Dayglow,11/14/19,135,58,69,-12,90,3:36,17,64,6239,1
139,Body,Loud Luxury,10/27/17,122,76,75,-4,58,2:43,5,77,1341,1
140,Face to Face,Rex Orange County,10/25/19,124,44,75,-8,44,3:40,59,69,5624,1
141,Heartstrings (feat. Santana),Felly,10/29/19,80,54,51,-7,66,4:16,8,54,8455,1
142,For Elise,Saint Motel,10/21/16,153,50,49,-6,26,3:23,24,61,2530,1
143,Keep It Gold,Surfaces,8/23/19,105,70,78,-5,62,4:14,12,64,3201,1
144,on the move,Zamir,11/5/19,96,54,70,-7,34,3:43,49,43,4250,1
145,Happiness,Rex Orange County,4/26/17,106,24,40,-10,20,4:40,73,72,9622,1
146,Sit Down Beside Me,Patrick Watson,5/25/10,145,33,31,-13,27,4:32,97,54,967,1
147,Sour Candy,Melt,5/13/17,178,54,49,-8,62,4:56,18,48,7911,1
148,Undercover Martyn,Two Door Cinema Club,2/17/10,160,87,44,-5,57,2:48,0,64,4799,1
149,Cigarette Daydreams,Cage The Elephant,10/8/13,114,68,64,-3,27,3:29,8,72,8695,1
150,Summer Days,A R I Z O N A,8/3/18,121,75,77,-4,77,3:40,0,57,1817,1
151,barcelona boots,Arlie,9/19/18,145,70,59,-4,60,3:48,29,40,1341,1
152,Virtual Insanity - Remastered,Jamiroquai,11/6/06,92,95,66,-5,52,3:49,13,68,2235,1
153,Cold Cold Man,Saint Motel,8/16/14,111,66,61,-5,51,3:51,1,66,709,1
154,Feel It Still,Portugal. The Man,6/16/17,79,80,80,-5,75,2:43,4,79,2815,1
155,Sweet Disaster,DREAMERS,8/26/16,87,82,52,-2,43,3:25,1,61,4104,1
156,Uma,Panama Wedding,1/1/14,130,56,77,-8,80,3:36,17,40,3944,1
157,10 Victoria's Secret Models - Whethan Remix,MAX,7/8/16,145,75,69,-7,33,3:36,4,40,5125,1
